DateTime,Station,DayOfWeek,Hour,IsHoliday,Weather,TicketsBooked
2024-01-01 00:00:00,Hitec City,Monday,0,1,Rainy,270
2024-01-01 01:00:00,Hyderabad Central,Monday,1,0,Cloudy,560
2024-01-01 02:00:00,Tarnaka,Monday,2,0,Clear,550
2024-01-01 03:00:00,Hyderabad Central,Monday,3,0,Clear,410
2024-01-01 04:00:00,Hitec City,Monday,4,0,Clear,400
2024-01-01 05:00:00,Ameerpet,Monday,5,0,Clear,540
2024-01-01 06:00:00,Tarnaka,Monday,6,0,Clear,580
2024-01-01 07:00:00,Hitec City,Monday,7,0,Rainy,500
2024-01-01 08:00:00,Kukatpally,Monday,8,0,Clear,660
2024-01-01 09:00:00,Hitec City,Monday,9,0,Clear,520
2024-01-01 10:00:00,Ameerpet,Monday,10,0,Clear,450
2024-01-01 11:00:00,Hitec City,Monday,11,0,Rainy,380
2024-01-01 12:00:00,LB Nagar,Monday,12,0,Clear,480
2024-01-01 13:00:00,Hitec City,Monday,13,1,Rainy,330
2024-01-01 14:00:00,Uppal,Monday,14,0,Clear,560
2024-01-01 15:00:00,Tarnaka,Monday,15,0,Clear,480
2024-01-01 16:00:00,Kukatpally,Monday,16,0,Rainy,310
2024-01-01 17:00:00,Secunderabad East,Monday,17,0,Clear,690
2024-01-01 18:00:00,Hyderabad Central,Monday,18,0,Cloudy,640
2024-01-01 19:00:00,Tarnaka,Monday,19,0,Clear,640
2024-01-01 20:00:00,Miyapur,Monday,20,0,Clear,580
2024-01-01 21:00:00,Kukatpally,Monday,21,0,Clear,460
2024-01-01 22:00:00,Ameerpet,Monday,22,1,Cloudy,210
2024-01-01 23:00:00,Hitec City,Monday,23,0,Rainy,380
2024-01-02 00:00:00,Secunderabad East,Tuesday,0,0,Clear,440
2024-01-02 01:00:00,Hyderabad Central,Tuesday,1,0,Clear,490
2024-01-02 02:00:00,LB Nagar,Tuesday,2,0,Clear,480
2024-01-02 03:00:00,LB Nagar,Tuesday,3,0,Clear,470
2024-01-02 04:00:00,Dilsukhnagar,Tuesday,4,0,Clear,420
2024-01-02 05:00:00,Tarnaka,Tuesday,5,0,Clear,580
2024-01-02 06:00:00,Uppal,Tuesday,6,0,Clear,670
2024-01-02 07:00:00,Hitec City,Tuesday,7,0,Rainy,510
2024-01-02 08:00:00,Hitec City,Tuesday,8,0,Clear,600
